,x_location,y_location,predicted_rank
0,40000,30000,0
1,40000,40000,0
2,40000,50000,0
3,40000,60000,0
4,40000,70000,0
5,40000,80000,0
6,40000,90000,0
7,40000,100000,0
8,40000,110000,0
9,40000,120000,0
10,40000,130000,0
11,40000,140000,0
12,40000,150000,0
13,40000,160000,0
14,40000,170000,0
15,40000,180000,0
16,40000,190000,0
17,40000,200000,0
18,40000,210000,0
19,40000,220000,0
20,40000,230000,0
21,40000,240000,0
22,40000,250000,0
23,40000,260000,0
24,40000,270000,0
25,40000,280000,0
26,40000,290000,0
27,40000,300000,0
28,40000,310000,0
29,40000,320000,0
30,40000,330000,0
31,40000,340000,0
32,40000,350000,0
33,40000,360000,0
34,40000,370000,0
35,40000,380000,0
36,40000,390000,0
37,40000,400000,0
38,40000,410000,0
39,40000,420000,0
40,40000,430000,0
41,40000,440000,0
42,40000,450000,0
43,40000,460000,0
44,40000,470000,0
45,40000,480000,0
46,40000,490000,0
47,40000,500000,0
48,40000,510000,0
49,40000,520000,0
50,40000,530000,0
51,40000,540000,0
52,40000,550000,0
53,40000,560000,0
54,40000,570000,0
55,40000,580000,0
56,40000,590000,0
57,40000,600000,0
58,40000,610000,0
59,40000,620000,0
60,40000,630000,0
61,40000,640000,0
62,40000,650000,0
63,40000,660000,0
64,40000,670000,0
65,40000,680000,0
66,40000,690000,0
67,40000,700000,0
68,40000,710000,0
69,40000,720000,0
70,40000,730000,0
71,50000,30000,0
72,50000,40000,0
73,50000,50000,0
74,50000,60000,0
75,50000,70000,0
76,50000,80000,0
77,50000,90000,0
78,50000,100000,0
79,50000,110000,0
80,50000,120000,0
81,50000,130000,0
82,50000,140000,0
83,50000,150000,0
84,50000,160000,0
85,50000,170000,0
86,50000,180000,0
87,50000,190000,0
88,50000,200000,0
89,50000,210000,0
90,50000,220000,0
91,50000,230000,0
92,50000,240000,0
93,50000,250000,0
94,50000,260000,0
95,50000,270000,0
96,50000,280000,0
97,50000,290000,0
98,50000,300000,0
99,50000,310000,0
100,50000,320000,0
101,50000,330000,0
102,50000,340000,0
